metro,ccode,year,qtr,period,lh_emp,total_emp,lh_share,is_host,lh_imputed,cohort,treated,d,log_lh
Baltimore,C1258,2015,4,7,132359.66666666666,1316608.3333333333,0.10053078300937383,0,False,,0,0,11.793278243648173
Baltimore,C1258,2016,1,8,127156.66666666667,1286942.6666666667,0.09880523038063338,0,False,,0,0,11.75317520098712
Baltimore,C1258,2016,2,9,138399.0,1317529.6666666667,0.10504431399267669,0,False,,0,0,11.837896096706077
Baltimore,C1258,2016,3,10,140139.33333333334,1308622.6666666667,0.10708918384418427,0,False,,0,0,11.850392444765596
Baltimore,C1258,2016,4,11,133753.0,1329334.3333333333,0.10061652410993674,0,False,,0,0,11.803750094413248
Baltimore,C1258,2017,1,12,130223.66666666667,1300198.6666666667,0.10015674527687564,0,False,,0,0,11.777008763871528
Baltimore,C1258,2017,2,13,140932.0,1329169.0,0.10603015869313834,0,False,,0,0,11.85603278352742
Baltimore,C1258,2017,3,14,142191.33333333334,1322612.3333333333,0.1075079445047768,0,False,,0,0,11.86492884747096
Baltimore,C1258,2017,4,15,134445.0,1340584.0,0.100288381779881,0,False,,0,0,11.808910472459571
Baltimore,C1258,2018,1,16,130197.66666666667,1316848.3333333333,0.09887066214914653,0,False,,0,0,11.776809087449067
Baltimore,C1258,2018,2,17,141870.0,1344637.0,0.10550802930456324,0,False,,0,0,11.862666424306031
Baltimore,C1258,2018,3,18,144789.33333333334,1343501.3333333333,0.10777014487518187,0,False,,0,0,11.883035091395321
Baltimore,C1258,2018,4,19,136416.0,1349654.3333333333,0.10107476902110492,0,False,,0,0,11.823464319564938
Baltimore,C1258,2019,1,20,131156.33333333334,1324808.0,0.09900025764739746,0,False,,0,0,11.784145274890273
Baltimore,C1258,2019,2,21,143005.0,1348168.6666666667,0.10607352294693097,0,False,,0,0,11.870634873665747
Baltimore,C1258,2019,3,22,144235.66666666666,1342717.0,0.1074207496193663,0,False,,0,0,11.87920381490419
Baltimore,C1258,2019,4,23,135466.33333333334,1361906.3333333333,0.0994681719423191,0,False,,0,0,11.81647842594535
Baltimore,C1258,2020,1,24,128970.0,1330957.0,0.09690020038213105,0,False,,0,0,11.767335098158437
Baltimore,C1258,2020,2,25,72958.66666666667,1184261.0,0.061606914917122724,0,False,,0,0,11.197648349727425
Baltimore,C1258,2020,3,26,101765.33333333333,1237122.6666666667,0.08225969507739464,0,False,,0,0,11.530424788102014
Baltimore,C1258,2020,4,27,100688.66666666667,1263908.3333333333,0.07966453263356389,0,False,,0,0,11.519788526858202
Baltimore,C1258,2021,1,28,94573.66666666667,1242711.3333333333,0.07610268300441991,0,False,,0,0,11.457134351243422
Baltimore,C1258,2021,2,29,110976.0,1272988.3333333333,0.08717754679605601,0,False,,0,0,11.61706924070016
Baltimore,C1258,2021,3,30,120847.0,1285389.3333333333,0.09401587275243195,0,False,,0,0,11.70228056166132
Baltimore,C1258,2021,4,31,116480.66666666667,1309529.0,0.0889485201676837,0,False,,0,0,11.665480586857358
Baltimore,C1258,2022,1,32,110917.33333333333,1270105.0,0.08732926280373145,0,False,,0,0,11.616540458089592
Baltimore,C1258,2022,2,33,122659.33333333333,1295545.6666666667,0.09467773810623425,0,False,,0,0,11.71716614408721
Baltimore,C1258,2022,3,34,127539.33333333333,1300993.6666666667,0.09803224765890481,0,False,,0,0,11.756180092737312
Baltimore,C1258,2022,4,35,119250.0,1302399.0,0.09156180248909897,0,False,,0,0,11.688977408750588
Baltimore,C1258,2023,1,36,117915.66666666667,1303934.6666666667,0.09043065552364075,0,False,,0,0,11.677724958670144
Baltimore,C1258,2023,2,37,129720.66666666667,1329340.6666666667,0.09758271142937526,0,False,,0,0,11.773138699682383
Baltimore,C1258,2023,3,38,133811.66666666666,1331371.0,0.10050667069259181,0,False,,0,0,11.804188617693155
Baltimore,C1258,2023,4,39,125495.66666666667,1338993.3333333333,0.09372389207812835,0,False,,0,0,11.740026508405395
Baltimore,C1258,2024,1,40,123172.66666666667,1339753.0,0.09193684706559095,0,False,,0,0,11.721342443994798
Baltimore,C1258,2024,2,41,133888.0,1359412.6666666667,0.09848959280944368,0,False,,0,0,11.804758908544486
Baltimore,C1258,2024,3,42,135885.0,1359795.3333333333,0.09993047973395996,0,False,,0,0,11.819564218771498
Baltimore,C1258,2024,4,43,129318.0,1361978.6666666667,0.09494862376698998,0,False,,0,0,11.770029766207868
Baltimore,C1258,2025,1,44,124463.0,1344282.0,0.09258697207877514,0,False,,0,0,11.73176376196255
Baltimore,C1258,2025,2,45,135330.66666666666,1364943.6666666667,0.09914743734234696,0,False,,0,0,11.815476445288127
Boston,C1446,2014,1,0,232431.66666666666,2434010.0,0.09549330802530255,0,False,,0,0,12.35635155400044
Boston,C1446,2014,2,1,255658.0,2503383.0,0.1021250044439864,0,False,,0,0,12.451595892801638
Boston,C1446,2014,3,2,264143.0,2495136.6666666665,0.1058631390932494,0,False,,0,0,12.484245902146686
Boston,C1446,2014,4,3,251606.66666666666,2545242.3333333335,0.09885371753076032,0,False,,0,0,12.435622300542702
Boston,C1446,2015,1,4,237843.0,2486072.0,0.09567019780601688,0,False,,0,0,12.379366071114125
Boston,C1446,2015,2,5,262940.0,2563175.0,0.1025837096569684,0,False,,0,0,12.479681148250595
Boston,C1446,2015,3,6,271617.3333333333,2560074.6666666665,0.10609742632506551,0,False,,0,0,12.51214949197248
Boston,C1446,2015,4,7,259021.0,2596334.3333333335,0.0997641161519645,0,False,,0,0,12.464664418475863
Boston,C1446,2016,1,8,247886.33333333334,2548325.3333333335,0.09727420988633581,0,False,,0,0,12.42072558674696
Boston,C1446,2016,2,9,272371.6666666667,2612079.6666666665,0.10427387423992557,0,False,,0,0,12.514922834142359
Boston,C1446,2016,3,10,281145.0,2616569.0,0.10744795952256563,0,False,,0,0,12.546625829461195
Boston,C1446,2016,4,11,265713.3333333333,2638604.0,0.10070224002288078,0,False,,0,0,12.490173312398257
Boston,C1446,2017,1,12,254338.0,2588640.3333333335,0.09825157891768406,0,False,,0,0,12.446419370054004
Boston,C1446,2017,2,13,278636.0,2653095.6666666665,0.1050229750478906,0,False,,0,0,12.53766154949613
